지역,발표일자,발표시각,자료구분코드,예보지점 X 좌표,예보지점 Y 좌표,실황 값
서울,20250630,1100,강수형태,60,127,0
서울,20250630,1100,습도,60,127,67
서울,20250630,1100,1시간 강수량,60,127,0
서울,20250630,1100,기온,60,127,29.4
서울,20250630,1100,동서바람성분,60,127,-0.1
서울,20250630,1100,풍향,60,127,176
서울,20250630,1100,남북바람성분,60,127,3.2
서울,20250630,1100,풍속,60,127,3.2
부산,20250630,1100,강수형태,98,76,0
부산,20250630,1100,습도,98,76,55
부산,20250630,1100,1시간 강수량,98,76,0
부산,20250630,1100,기온,98,76,32.7
부산,20250630,1100,동서바람성분,98,76,-0.4
부산,20250630,1100,풍향,98,76,162
부산,20250630,1100,남북바람성분,98,76,1.5
부산,20250630,1100,풍속,98,76,1.6
대구,20250630,1100,강수형태,89,90,0
대구,20250630,1100,습도,89,90,50
대구,20250630,1100,1시간 강수량,89,90,0
대구,20250630,1100,기온,89,90,33.2
대구,20250630,1100,동서바람성분,89,90,0.4
대구,20250630,1100,풍향,89,90,340
대구,20250630,1100,남북바람성분,89,90,-1
대구,20250630,1100,풍속,89,90,1.2
인천,20250630,1100,강수형태,55,124,0
인천,20250630,1100,습도,55,124,68
인천,20250630,1100,1시간 강수량,55,124,0
인천,20250630,1100,기온,55,124,30.9
인천,20250630,1100,동서바람성분,55,124,1.8
인천,20250630,1100,풍향,55,124,291
인천,20250630,1100,남북바람성분,55,124,-0.6
인천,20250630,1100,풍속,55,124,1.6
광주,20250630,1100,강수형태,58,74,0
광주,20250630,1100,습도,58,74,65
광주,20250630,1100,1시간 강수량,58,74,0
광주,20250630,1100,기온,58,74,31.5
광주,20250630,1100,동서바람성분,58,74,2.3
광주,20250630,1100,풍향,58,74,298
광주,20250630,1100,남북바람성분,58,74,-1.1
광주,20250630,1100,풍속,58,74,2.6
대전,20250630,1100,강수형태,67,100,0
대전,20250630,1100,습도,67,100,58
대전,20250630,1100,1시간 강수량,67,100,0
대전,20250630,1100,기온,67,100,31.6
대전,20250630,1100,동서바람성분,67,100,1.4
대전,20250630,1100,풍향,67,100,207
대전,20250630,1100,남북바람성분,67,100,2.8
대전,20250630,1100,풍속,67,100,3.1
울산,20250630,1100,강수형태,102,84,0
울산,20250630,1100,습도,102,84,53
울산,20250630,1100,1시간 강수량,102,84,0
울산,20250630,1100,기온,102,84,32
울산,20250630,1100,동서바람성분,102,84,-0.1
울산,20250630,1100,풍향,102,84,175
울산,20250630,1100,남북바람성분,102,84,2.1
울산,20250630,1100,풍속,102,84,2
세종,20250630,1100,강수형태,66,103,0
세종,20250630,1100,습도,66,103,63
세종,20250630,1100,1시간 강수량,66,103,0
세종,20250630,1100,기온,66,103,30.8
세종,20250630,1100,동서바람성분,66,103,1.3
세종,20250630,1100,풍향,66,103,232
세종,20250630,1100,남북바람성분,66,103,1
세종,20250630,1100,풍속,66,103,2.1
경기북부,20250630,1100,강수형태,61,130,0
경기북부,20250630,1100,습도,61,130,70
경기북부,20250630,1100,1시간 강수량,61,130,0
경기북부,20250630,1100,기온,61,130,29.4
경기북부,20250630,1100,동서바람성분,61,130,0
경기북부,20250630,1100,풍향,61,130,180
경기북부,20250630,1100,남북바람성분,61,130,1.3
경기북부,20250630,1100,풍속,61,130,1.3
경기남부,20250630,1100,강수형태,60,120,0
경기남부,20250630,1100,습도,60,120,64
경기남부,20250630,1100,1시간 강수량,60,120,0
경기남부,20250630,1100,기온,60,120,29.4
경기남부,20250630,1100,동서바람성분,60,120,2.6
경기남부,20250630,1100,풍향,60,120,234
경기남부,20250630,1100,남북바람성분,60,120,1.9
경기남부,20250630,1100,풍속,60,120,3.2
강원,20250630,1100,강수형태,73,134,0
강원,20250630,1100,습도,73,134,69
강원,20250630,1100,1시간 강수량,73,134,0
강원,20250630,1100,기온,73,134,29.5
강원,20250630,1100,동서바람성분,73,134,1.3
강원,20250630,1100,풍향,73,134,230
강원,20250630,1100,남북바람성분,73,134,1.1
강원,20250630,1100,풍속,73,134,1.7
충북,20250630,1100,강수형태,69,107,0
충북,20250630,1100,습도,69,107,62
충북,20250630,1100,1시간 강수량,69,107,0
충북,20250630,1100,기온,69,107,30.9
충북,20250630,1100,동서바람성분,69,107,-0.2
충북,20250630,1100,풍향,69,107,167
충북,20250630,1100,남북바람성분,69,107,1.3
충북,20250630,1100,풍속,69,107,1.3
충남,20250630,1100,강수형태,68,100,0
충남,20250630,1100,습도,68,100,59
충남,20250630,1100,1시간 강수량,68,100,0
충남,20250630,1100,기온,68,100,31.6
충남,20250630,1100,동서바람성분,68,100,0.7
충남,20250630,1100,풍향,68,100,212
충남,20250630,1100,남북바람성분,68,100,1.1
충남,20250630,1100,풍속,68,100,1.3
전북,20250630,1100,강수형태,63,89,0
전북,20250630,1100,습도,63,89,59
전북,20250630,1100,1시간 강수량,63,89,0
전북,20250630,1100,기온,63,89,31.9
전북,20250630,1100,동서바람성분,63,89,1.5
전북,20250630,1100,풍향,63,89,288
전북,20250630,1100,남북바람성분,63,89,-0.4
전북,20250630,1100,풍속,63,89,1.6
전남,20250630,1100,강수형태,51,67,0
전남,20250630,1100,습도,51,67,64
전남,20250630,1100,1시간 강수량,51,67,0
전남,20250630,1100,기온,51,67,30.8
전남,20250630,1100,동서바람성분,51,67,1.5
전남,20250630,1100,풍향,51,67,234
전남,20250630,1100,남북바람성분,51,67,1.1
전남,20250630,1100,풍속,51,67,1.9
경북,20250630,1100,강수형태,89,91,0
경북,20250630,1100,습도,89,91,50
경북,20250630,1100,1시간 강수량,89,91,0
경북,20250630,1100,기온,89,91,33.2
경북,20250630,1100,동서바람성분,89,91,0.4
경북,20250630,1100,풍향,89,91,340
경북,20250630,1100,남북바람성분,89,91,-1
경북,20250630,1100,풍속,89,91,1.2
경남,20250630,1100,강수형태,91,77,0
경남,20250630,1100,습도,91,77,62
경남,20250630,1100,1시간 강수량,91,77,0
경남,20250630,1100,기온,91,77,32.8
경남,20250630,1100,동서바람성분,91,77,-1.4
경남,20250630,1100,풍향,91,77,118
경남,20250630,1100,남북바람성분,91,77,0.8
경남,20250630,1100,풍속,91,77,1.7
제주,20250630,1100,강수형태,52,38,0
제주,20250630,1100,습도,52,38,73
제주,20250630,1100,1시간 강수량,52,38,0
제주,20250630,1100,기온,52,38,27.9
제주,20250630,1100,동서바람성분,52,38,-1.5
제주,20250630,1100,풍향,52,38,24
제주,20250630,1100,남북바람성분,52,38,-3.5
제주,20250630,1100,풍속,52,38,3.9
